IdRegistro,IdPermeabilidad,Peso1,Peso2,Permeabilidad
REG-0012163,1,50,131.0,162
REG-0012164,1,50,151.0,202
REG-0012165,1,50,140.0,180
REG-0012166,1,50,150.0,200
REG-0012167,1,50,160.0,220
REG-0012168,1,50,155.0,210
REG-0012169,1,50,142.0,184
REG-0012170,1,50,132.0,164
REG-0012171,1,50,138.0,176
REG-0012172,1,50,139.0,178
REG-0012173,1,50,141.0,182
REG-0012174,1,50,145.0,190
REG-0012175,1,50,138.0,176
REG-0012176,1,50,140.0,180
REG-0012177,1,50,140.0,180
REG-0012178,1,50,134.0,168
REG-0012179,1,50,136.0,172
REG-0012180,1,50,135.0,170
REG-0012181,1,50,135.0,170
REG-0012182,1,50,138.0,176
REG-0012183,1,50,140.0,180
REG-0012184,1,50,148.0,196
REG-0012185,1,50,148.0,196
REG-0012186,1,50,140.0,180
REG-0012187,1,50,138.0,176
REG-0012188,1,50,148.0,196
REG-0012189,1,50,140.0,180
REG-0012190,1,50,147.0,194
REG-0012191,1,50,141.0,182
REG-0012192,1,50,140.0,180
REG-0012193,1,50,138.0,176
REG-0012194,1,50,136.0,172
REG-0012195,1,50,140.0,180
REG-0012196,1,50,128.0,156
REG-0012197,1,50,131.0,162
REG-0012198,1,50,125.0,150
REG-0012199,1,50,133.0,166
REG-0012200,1,50,138.0,176
REG-0012201,1,50,135.0,170
REG-0012202,1,50,143.0,186
REG-0012203,1,50,133.0,166
REG-0012204,1,50,133.0,166
REG-0012205,1,50,135.0,170
REG-0012206,1,50,134.0,168
REG-0012207,1,50,136.0,172
REG-0012208,1,50,135.0,170
REG-0012209,1,50,137.0,174
REG-0012210,1,50,142.0,184
REG-0012211,1,50,148.0,196
REG-0012212,1,50,140.0,180
REG-0012213,1,50,145.0,190
REG-0012214,1,50,136.0,172
REG-0012215,1,50,148.0,196
REG-0012216,1,50,138.0,176
REG-0012217,1,50,136.0,172
REG-0012218,1,50,141.0,182
REG-0012219,1,50,134.0,168
REG-0012220,1,50,128.0,156
REG-0012221,1,50,130.0,160
REG-0012222,1,50,145.0,190
REG-0012223,1,50,135.0,170
REG-0012224,1,50,145.0,190
REG-0012225,1,50,145.0,190
REG-0012226,1,50,146.0,192
REG-0012227,1,50,147.0,194
REG-0012228,1,50,148.0,196
REG-0012229,1,50,138.0,176
REG-0012230,1,50,146.0,192
REG-0012231,1,50,129.0,158
REG-0012232,1,50,134.0,168
REG-0012233,1,50,136.0,172
REG-0012234,1,50,140.0,180
REG-0012235,1,50,138.0,176
REG-0012236,1,50,140.0,180
REG-0012237,1,50,148.0,196
REG-0012238,1,50,138.0,176
REG-0012239,1,50,127.0,154
REG-0012240,1,50,134.0,168
REG-0012241,1,50,137.0,174
REG-0012242,1,50,130.0,160
REG-0012243,1,50,132.0,164
REG-0012244,1,50,135.0,170
