IdRegistro,Proceso,Tamano,Fecha,IdTurno,IdIngeniero,IdTecnico,IdProducto,IdLinea,Hora,Lote,FechaProduccion,IdEtapa,TolvaPorEnvasar,CantidadBolsas,Toneladas,CodigoQM,IdDisenoProducto,IdAutorizador,VerEspTecnica,VerEtiqueta,VerFormula,Agrupador
REG-0012041,Extruido,"0,8",1/4/2026,1,,9,80,9,07:30:00,PE260104B0,04/01/26,3,,0,0,,619,,,,11,HD14399
REG-0012042,Extruido,"0,8",1/4/2026,1,,9,77,8,09:30:00,PE260104A0,04/01/26,3,,0,0,,616,,,,256,HD14257
REG-0012043,Extruido,"0,8",1/4/2026,1,,9,80,9,11:15:00,PE260104B0,04/01/26,2,,0,0,,619,,,,11,HD14399
REG-0012044,Extruido,"0,8",1/4/2026,1,,9,77,8,12:15:00,PE260104A0,04/01/26,2,,0,0,,616,,,,256,HD14257
REG-0012045,Extruido,"0,8",1/4/2026,1,,9,77,8,13:15:00,PE260104A0,04/01/26,3,,0,0,,616,,,,256,HD14257
REG-0012046,Extruido,"0,8",1/4/2026,1,,9,80,9,13:15:00,PE260104B0,04/01/26,3,,0,0,,619,,,,11,HD14399
REG-0012047,Extruido,"0,8",1/4/2026,1,,9,77,8,15:10:00,PE260104A0,04/01/26,3,,0,0,,616,,,,256,HD14257
REG-0012048,Extruido,"0,8",1/4/2026,1,,9,80,9,15:10:00,PE260104B0,04/01/26,3,,0,0,,619,,,,11,HD14399
REG-0012049,Extruido,"0,8",1/4/2026,1,,9,77,8,17:10:00,PE260104A0,04/01/26,3,,0,0,,616,,,,256,HD14257
REG-0012050,Extruido,"0,8",1/4/2026,1,,9,80,9,17:10:00,PE260104B0,04/01/26,3,,0,0,,619,,,,11,HD14399
REG-0012051,Extruido,"0,8",1/4/2026,1,,9,77,8,17:30:00,PE260104A0,04/01/26,1,,1227,30.675,40000482808,616,1.0,,,256,HD14257
REG-0012052,Extruido,"0,8",1/4/2026,1,,9,80,9,17:30:00,PE260104B0,04/01/26,1,,330,8.25,40000482902,619,1.0,,,11,HD14399
REG-0012053,Extruido,"0,8",1/4/2026,2,,1,81,8,20:30:00,PE260104A0,04/01/26,2,,0,0,,621,,,,256,HD14257
REG-0012054,Extruido,"0,8",1/4/2026,2,,1,80,9,19:30:00,PE260104B0,04/01/26,3,,0,0,,619,,,,11,HD14399
REG-0012055,Extruido,"0,8",1/4/2026,2,,1,81,8,21:50:00,PE260104A0,04/01/26,3,,0,0,,621,,,,256,HD14257
REG-0012056,Extruido,"0,8",1/4/2026,2,,1,80,9,21:50:00,PE260104B0,04/01/26,3,,0,0,,619,,,,11,HD14399
REG-0012057,Extruido,"0,8",1/4/2026,2,,1,81,8,23:50:00,PE260104A0,04/01/26,3,,0,0,,621,,,,256,HD14257
REG-0012058,Extruido,"0,8",1/4/2026,2,,1,80,9,23:50:00,PE260104B0,04/01/26,3,,0,0,,619,,,,11,HD14399
REG-0012059,Extruido,"0,8",1/4/2026,2,,1,81,8,01:30:00,PE260104A0,04/01/26,3,,0,0,,621,,,,256,HD14257
REG-0012060,Extruido,"0,8",1/4/2026,2,,1,80,9,01:30:00,PE260104B0,04/01/26,3,,0,0,,619,,,,11,HD14399
REG-0012061,Extruido,"0,8",1/4/2026,2,,1,81,8,03:30:00,PE260104A0,04/01/26,3,,0,0,,621,,,,256,HD14257
