IdRegistro,NroParticulas,Peso,TiempoHundimiento,PctFlotabilidad,PctHundimiento
REG-0012132,,15.0,25.0,0.09,99.91
REG-0012133,,15.0,36.0,0.09,99.91
REG-0012134,,15.0,25.0,0.03,99.97
REG-0012135,,15.0,120.0,0.08,99.92
REG-0012136,,15.0,120.0,0.06,99.94
REG-0012137,,15.0,80.0,0.28,99.72
REG-0012138,,15.0,39.0,0.1,99.9
REG-0012139,,15.0,60.0,0.12,99.88
REG-0012140,,15.0,120.0,0.38,99.62
REG-0012141,,15.0,120.0,0.72,99.28
REG-0012142,,15.0,20.0,0.06,99.94
REG-0012143,,15.0,21.0,0.06,99.94
REG-0012144,,15.0,110.0,0.49,99.51
REG-0012145,,15.0,50.0,0.06,99.94
REG-0012146,,15.0,120.0,0.46,99.54
REG-0012147,,15.0,80.0,0.09,99.91
REG-0012148,,15.0,61.0,0.15,99.85
REG-0012149,,15.0,55.0,0.05,99.95
REG-0012150,,15.0,8.0,0.0,100.0
REG-0012151,,15.0,28.0,0.05,99.95
REG-0012152,,15.0,19.0,0.02,99.98
REG-0012153,,15.0,34.0,0.05,99.95
REG-0012154,,15.0,120.0,0.09,99.91
REG-0012155,,15.0,120.0,0.15,99.85
REG-0012156,,15.0,37.0,0.05,99.95
REG-0012157,,15.0,120.0,0.03,99.97
REG-0012158,,15.0,98.0,0.03,99.97
REG-0012159,,15.0,120.0,0.41,99.59
REG-0012160,,15.0,120.0,0.55,99.45
REG-0012161,,15.0,120.0,0.48,99.52
REG-0012162,,15.0,110.0,0.29,99.71
REG-0012163,,15.0,120.0,0.38,99.62
REG-0012164,,15.0,78.0,0.25,99.75
REG-0012165,,15.0,120.0,0.32,99.68
REG-0012166,,15.0,120.0,0.5,99.5
REG-0012167,,15.0,94.0,0.61,99.39
REG-0012168,,15.0,120.0,0.59,99.41
REG-0012169,,15.0,59.0,0.14,99.86
REG-0012170,,15.0,79.0,0.51,99.49
REG-0012171,,15.0,81.0,0.29,99.71
REG-0012172,,15.0,98.0,0.5,99.5
REG-0012173,,15.0,86.0,0.04,99.96
REG-0012174,,15.0,120.0,0.43,99.57
REG-0012175,,15.0,115.0,0.53,99.47
REG-0012176,,15.0,120.0,0.68,99.32
REG-0012177,,15.0,120.0,0.23,99.77
REG-0012178,,15.0,120.0,0.39,99.61
REG-0012179,,15.0,98.0,0.14,99.86
REG-0012180,,15.0,73.0,0.17,99.83
REG-0012181,,15.0,90.0,0.25,99.75
REG-0012182,,15.0,80.0,0.09,99.91
REG-0012183,,15.0,120.0,0.16,99.84
REG-0012184,,15.0,120.0,0.29,99.71
REG-0012185,,15.0,120.0,0.17,99.83
REG-0012186,,15.0,90.0,0.1,99.9
REG-0012187,,15.0,120.0,0.14,99.86
REG-0012188,,15.0,120.0,0.19,99.81
