IdRegistro,IdVariable,Valor
REG-0025277,4,9.94
REG-0025277,5,1.66
REG-0025277,6,12.98
REG-0025277,7,1.88
REG-0025277,8,1.19
REG-0025277,9,0.2
REG-0025277,10,1.47
REG-0025277,11,0.54
REG-0025277,12,120.42
REG-0025277,13,0.56
REG-0025278,1,41.81
REG-0025278,2,9.08
REG-0025278,3,7.71
REG-0025278,14,9.44
REG-0025278,4,10.41
REG-0025278,5,1.71
REG-0025278,6,12.92
REG-0025278,7,1.83
REG-0025278,8,1.21
REG-0025278,9,0.24
REG-0025278,10,1.52
REG-0025278,11,0.64
REG-0025278,12,113.52
REG-0025278,13,0.54
REG-0025279,1,42.09
REG-0025279,2,9.44
REG-0025279,3,8.38
REG-0025279,14,10.04
REG-0025279,4,9.97
REG-0025279,5,1.61
REG-0025279,6,13.14
REG-0025279,7,1.93
REG-0025279,8,1.19
REG-0025279,9,0.22
REG-0025279,10,1.45
REG-0025279,11,0.51
REG-0025279,12,124.24
REG-0025279,13,0.56
REG-0025280,1,42.09
REG-0025280,2,9.6
REG-0025280,3,8.46
REG-0025280,14,10.19
REG-0025280,4,9.89
REG-0025280,5,1.57
REG-0025280,6,13.15
REG-0025280,7,1.89
REG-0025280,8,1.19
REG-0025280,9,0.2
REG-0025280,10,1.45
REG-0025280,11,0.52
REG-0025280,12,121.83
REG-0025280,13,0.55
REG-0025281,1,41.84
REG-0025281,2,9.37
REG-0025281,3,8.44
REG-0025281,14,10.17
REG-0025281,4,10.32
REG-0025281,5,1.64
REG-0025281,6,12.91
REG-0025281,7,1.88
REG-0025281,8,1.22
REG-0025281,9,0.23
REG-0025281,10,1.47
REG-0025281,11,0.61
REG-0025281,12,122.28
REG-0025281,13,0.54
REG-0025282,1,41.91
REG-0025282,2,9.29
REG-0025282,3,8.11
REG-0025282,14,10.02
REG-0025282,4,10.15
REG-0025282,5,1.68
REG-0025282,6,12.87
REG-0025282,7,1.79
REG-0025282,8,1.18
REG-0025282,9,0.18
REG-0025282,10,1.41
REG-0025282,11,0.59
REG-0025282,12,121.13
REG-0025282,13,0.53
REG-0025283,1,41.84
REG-0025283,2,9.48
REG-0025283,3,8.53
REG-0025283,14,10.12
REG-0025283,4,10.04
REG-0025283,5,1.58
REG-0025283,6,13.2
REG-0025283,7,1.87
REG-0025283,8,1.18
REG-0025283,9,0.21
REG-0025283,10,1.44
REG-0025283,11,0.56
REG-0025283,12,122.9
REG-0025283,13,0.54
REG-0025284,1,43.12
REG-0025284,2,7.8
REG-0025284,3,8.16
REG-0025284,14,9.92
REG-0025284,4,10.24
REG-0025284,5,1.64
REG-0025284,6,12.85
REG-0025284,7,1.9
REG-0025284,8,1.25
REG-0025284,9,0.23
REG-0025284,10,1.48
REG-0025284,11,0.59
REG-0025284,12,124.64
REG-0025284,13,0.45
REG-0025285,1,43.25
REG-0025285,2,7.81
REG-0025285,3,8.03
