IdRegistro,IdRango,Valor
REG-0025262,107,0.02
REG-0025262,108,0.0
REG-0025262,109,0.11
REG-0025262,110,0.64
REG-0025262,111,6.21
REG-0025262,112,54.75
REG-0025262,113,33.03
REG-0025262,114,1.42
REG-0025262,115,0.8
REG-0025262,116,0.58
REG-0025262,117,2.44
REG-0025263,107,0.01
REG-0025263,108,0.0
REG-0025263,109,0.02
REG-0025263,110,0.19
REG-0025263,111,5.28
REG-0025263,112,57.77
REG-0025263,113,31.37
REG-0025263,114,1.33
REG-0025263,115,0.69
REG-0025263,116,0.59
REG-0025263,117,2.75
REG-0025264,107,0.03
REG-0025264,108,0.0
REG-0025264,109,0.02
REG-0025264,110,0.31
REG-0025264,111,5.61
REG-0025264,112,58.06
REG-0025264,113,31.12
REG-0025264,114,1.31
REG-0025264,115,0.65
REG-0025264,116,0.57
REG-0025264,117,2.32
REG-0025265,107,0.05
REG-0025265,108,0.0
REG-0025265,109,0.03
REG-0025265,110,0.46
REG-0025265,111,5.51
REG-0025265,112,54.69
REG-0025265,113,33.76
REG-0025265,114,1.9
REG-0025265,115,0.77
REG-0025265,116,0.52
REG-0025265,117,2.31
REG-0025266,107,0.04
REG-0025266,108,0.0
REG-0025266,109,0.05
REG-0025266,110,0.86
REG-0025266,111,15.9
REG-0025266,112,56.45
REG-0025266,113,20.8
REG-0025266,114,1.8
REG-0025266,115,0.92
REG-0025266,116,0.71
REG-0025266,117,2.47
REG-0025267,107,0.03
REG-0025267,108,0.0
REG-0025267,109,0.06
REG-0025267,110,1.01
REG-0025267,111,17.85
REG-0025267,112,55.38
REG-0025267,113,18.98
REG-0025267,114,2.14
REG-0025267,115,1.16
REG-0025267,116,0.74
REG-0025267,117,2.65
REG-0025268,107,0.09
REG-0025268,108,0.01
REG-0025268,109,0.07
REG-0025268,110,0.38
REG-0025268,111,7.14
REG-0025268,112,60.34
REG-0025268,113,27.33
REG-0025268,114,1.12
REG-0025268,115,0.69
REG-0025268,116,0.52
REG-0025268,117,2.31
REG-0025269,107,0.03
REG-0025269,108,0.0
REG-0025269,109,0.1
REG-0025269,110,1.32
REG-0025269,111,14.73
REG-0025269,112,53.41
REG-0025269,113,20.14
REG-0025269,114,3.28
REG-0025269,115,1.69
REG-0025269,116,1.15
REG-0025269,117,4.15
REG-0025270,107,0.03
REG-0025270,108,0.0
REG-0025270,109,0.1
REG-0025270,110,1.35
REG-0025270,111,14.64
REG-0025270,112,50.65
REG-0025270,113,22.63
REG-0025270,114,3.62
REG-0025270,115,1.8
REG-0025270,116,1.36
REG-0025270,117,3.82
REG-0025271,107,0.02
REG-0025271,108,0.01
REG-0025271,109,0.17
REG-0025271,110,1.85
REG-0025271,111,12.9
REG-0025271,112,44.06
REG-0025271,113,25.83
REG-0025271,114,5.49
REG-0025271,115,2.42
REG-0025271,116,1.8
REG-0025271,117,5.45
REG-0025272,107,0.01
REG-0025272,108,0.0
REG-0025272,109,0.1
REG-0025272,110,1.02
REG-0025272,111,10.67
REG-0025272,112,46.6
REG-0025272,113,29.38
REG-0025272,114,4.44
REG-0025272,115,1.96
REG-0025272,116,1.26
REG-0025272,117,4.56
REG-0025273,107,0.01
REG-0025273,108,0.0
REG-0025273,109,0.08
REG-0025273,110,1.16
REG-0025273,111,11.89
REG-0025273,112,46.88
REG-0025273,113,27.88
REG-0025273,114,4.54
REG-0025273,115,1.88
REG-0025273,116,1.23
REG-0025273,117,4.45
REG-0025274,107,0.02
REG-0025274,108,0.0
REG-0025274,109,0.08
REG-0025274,110,1.07
REG-0025274,111,10.08
REG-0025274,112,43.66
REG-0025274,113,31.97
REG-0025274,114,5.41
REG-0025274,115,2.12
REG-0025274,116,1.16
REG-0025274,117,4.43
REG-0025275,107,0.03
REG-0025275,108,0.0
REG-0025275,109,0.04
REG-0025275,110,0.77
REG-0025275,111,8.73
REG-0025275,112,40.16
REG-0025275,113,33.47
REG-0025275,114,6.45
REG-0025275,115,2.49
REG-0025275,116,1.74
REG-0025275,117,6.12
REG-0025276,107,0.01
REG-0025276,108,0.0
REG-0025276,109,0.05
REG-0025276,110,0.37
REG-0025276,111,10.75
REG-0025276,112,53.33
REG-0025276,113,28.63
REG-0025276,114,1.94
REG-0025276,115,1.18
REG-0025276,116,0.86
REG-0025276,117,2.88
REG-0025277,107,0.02
REG-0025277,108,0.0
REG-0025277,109,0.02
REG-0025277,110,0.31
REG-0025277,111,16.02
REG-0025277,112,58.68
REG-0025277,113,19.92
REG-0025277,114,1.34
REG-0025277,115,0.77
REG-0025277,116,0.62
REG-0025277,117,2.3
REG-0025278,107,0.02
REG-0025278,108,0.02
REG-0025278,109,0.29
REG-0025278,110,1.92
REG-0025278,111,10.83
REG-0025278,112,40.91
REG-0025278,113,28.58
REG-0025278,114,6.39
REG-0025278,115,3.12
REG-0025278,116,2.04
REG-0025278,117,5.88
REG-0025279,107,0.02
REG-0025279,108,0.01
REG-0025279,109,0.05
REG-0025279,110,0.91
REG-0025279,111,17.82
REG-0025279,112,56.97
REG-0025279,113,17.26
REG-0025279,114,2.34
REG-0025279,115,1.22
REG-0025279,116,0.81
REG-0025279,117,2.59
REG-0025280,107,0.04
REG-0025280,108,0.01
REG-0025280,109,0.07
REG-0025280,110,0.86
REG-0025280,111,16.36
REG-0025280,112,53.99
REG-0025280,113,18.61
REG-0025280,114,2.65
REG-0025280,115,1.53
REG-0025280,116,1.13
REG-0025280,117,4.75
REG-0025281,107,0.03
REG-0025281,108,0.0
REG-0025281,109,0.02
REG-0025281,110,0.68
REG-0025281,111,14.63
REG-0025281,112,54.47
REG-0025281,113,20.91
REG-0025281,114,3.06
REG-0025281,115,1.68
REG-0025281,116,1.08
REG-0025281,117,3.44
REG-0025282,107,0.02
REG-0025282,108,0.01
REG-0025282,109,0.05
REG-0025282,110,1.06
REG-0025282,111,15.42
REG-0025282,112,54.22
REG-0025282,113,20.52
REG-0025282,114,3.12
REG-0025282,115,1.53
REG-0025282,116,1.03
REG-0025282,117,3.02
REG-0025283,107,0.12
REG-0025283,108,0.01
REG-0025283,109,0.07
REG-0025283,110,1.04
REG-0025283,111,16.43
REG-0025283,112,55.29
REG-0025283,113,19.24
REG-0025283,114,2.68
REG-0025283,115,1.25
REG-0025283,116,0.86
REG-0025283,117,3.01
REG-0025284,107,0.09
REG-0025284,108,0.0
REG-0025284,109,0.11
REG-0025284,110,1.33
REG-0025284,111,14.78
REG-0025284,112,50.66
REG-0025284,113,21.7
REG-0025284,114,4.41
REG-0025284,115,2.06
REG-0025284,116,1.3
REG-0025284,117,3.56
REG-0025285,107,0.04
REG-0025285,108,0.01
REG-0025285,109,0.08
REG-0025285,110,1.26
REG-0025285,111,14.87
REG-0025285,112,50.13
REG-0025285,113,21.52
