IdRegistro,IdMotivo_Causa,IdDecision,ObservacionPulmon
REG-0012138,,,
REG-0012139,,,
REG-0012140,,,Flotabilidad 0.38% / Densidad 1.24 /  Conformidad Long 52.11 / Particulas por gramo 1205
REG-0012141,,,
REG-0012142,,,
REG-0012143,,,
REG-0012144,,,Flotabilidad 0.49% / Densidad 1.23 /  Conformidad Long 48.96 / Particulas por gramo 151 / Reflote 0.626
REG-0012145,,,
REG-0012146,,,
REG-0012147,,,
REG-0012148,,,
REG-0012149,,,Flotabilidad 0.05 / Densidad 1.28 / Particulas por gramo 2158
REG-0012150,,,
REG-0012151,,,
REG-0012152,,,
REG-0012153,,,
REG-0012154,,,
REG-0012155,,,
REG-0012156,,,Flotabilidad 0.05 / Densidad 1.26 / Particulas por gramo 2197
REG-0012157,,,
REG-0012158,,,
REG-0012159,,,
REG-0012160,,,
REG-0012161,,,
REG-0012162,,,
REG-0012163,,,
REG-0012164,,1.0,Hidro mala / Aw alta 0.72
REG-0012165,,,Flotabilidad 0.32 / Densidad 1.26 / Particulas por gramo 2067
REG-0012166,,,Flotabilidad 0.50 / Densidad 1.25 / Particulas por gramo 1929 / Conformidad (Long) 75.55 / Conformidad (Calibre) 79.27 / Reflote 0.450
REG-0012167,,,
REG-0012168,,1.0,Hidro mala / Permeabilidad 210 /  Flotabilidad 0.59
REG-0012169,,,
REG-0012170,,,
REG-0012171,,,
REG-0012172,,,
REG-0012173,,,
REG-0012174,,,
REG-0012175,,,Flotabilidad 0.53 / Densidad 1.28 / Particulas por gramo 2269
REG-0012176,,,Flotabilidad 0.68 / Particulas por gramo 2187
REG-0012177,,,
REG-0012178,,,
REG-0012179,,,
REG-0012180,,,
REG-0012181,,,
REG-0012182,,,
REG-0012183,,,
REG-0012184,,,
REG-0012185,,,
REG-0012186,,,
REG-0012187,,,Flotabilidad 0.14 / Particulas por gramo 2320
REG-0012188,,,Flotabilidad 0.19 / Particulas por gramo 2154 / Densidad 1.29
REG-0012189,,,
REG-0012190,,,
REG-0012191,,,
REG-0012192,,,
REG-0012193,,,
REG-0012194,,,
REG-0012195,,,
REG-0012196,,,
REG-0012197,,,
REG-0012198,,,
REG-0012199,,1.0,Humedad alta 11.76 / Aw alto 0.65
REG-0012200,,,
REG-0012201,,,Flotabilidad 0.12 / Densidad 1.28 / Particulas por gramo 2214
REG-0012202,,,Flotabilidad 0.19 / Particulas por gramo 2085 / Proteina baja 41.57
REG-0012203,,,
REG-0012204,,,
REG-0012205,,,
REG-0012206,,,
REG-0012207,,,
REG-0012208,,,
REG-0012209,,,
REG-0012210,,,
REG-0012211,,,
REG-0012212,,,
REG-0012213,,,
REG-0012214,,,Flotabilidad 0.05 / Particulas por gramo 2000
REG-0012215,,,Flotabilidad 0.35 / Particulas por gramo 2267
REG-0012216,,,
REG-0012217,,,
REG-0012218,,,
REG-0012219,,,
REG-0012220,,,
REG-0012221,,,
REG-0012222,,,
REG-0012223,,,
REG-0012224,,,
REG-0012225,,,
REG-0012226,,,
REG-0012227,,,
REG-0012228,,,
REG-0012229,,,Flotabilidad 0.06 / Densidad 1.28 / Particulas por gramo 2149
REG-0012230,,,Flotabilidad 0.13 / Particulas por gramo 1961
REG-0012231,,,
REG-0012232,,,
REG-0012233,,,
REG-0012234,,,
REG-0012235,,,Flotabilidad 0.03 / Densidad 1.29 / Particulas por gramo 2120
REG-0012236,,,Flotabilidad 0.03 / Particulas por gramo 2000
REG-0012237,,,Flotabilidad 0.04 / Particulas por gramo 1800
REG-0012238,,,
REG-0012239,,,
REG-0012240,,,
REG-0012241,,,
REG-0012242,,,
REG-0012243,,,
REG-0012244,,,Flotabilidad 0.67 / Densidad 1.25
REG-0012245,,,Flotabilidad 0.24 / Particulas por gramo 2200
REG-0012246,,,
REG-0012247,,,
REG-0012248,,,
REG-0012249,,,
REG-0012250,,,
REG-0012251,,,
REG-0012252,,,
REG-0012253,,,Flotabilidad 0.31 / Densidad 1.24
REG-0012254,,,Flotabilidad 0.14 / Particulas por gramo 2300
REG-0012255,,,
REG-0012256,,,
REG-0012257,,,
REG-0012258,,,
REG-0012259,,,
REG-0012260,,,
REG-0012261,,,
REG-0012262,,,Flotabilidad 0.59 / Densidad 1.25
REG-0012263,,,Flotabilidad 0.44 / Densidad 1.28
REG-0012264,,,
REG-0012265,,,
REG-0012266,,,
REG-0012267,,,
REG-0012268,,,
REG-0012269,,,
REG-0012270,,,
REG-0012271,,,Flotabilidad 0.20 / Particulas por gramo 2000 / Densidad 1.26
REG-0012272,,1.0,Flotabilidad 0.20 / Particulas por gramo 2000 / Densidad 1.26
REG-0012273,,,Flotabilidad 0.17 / Particulas por gramo 1862
REG-0012274,,,
REG-0012275,,,
REG-0012276,,,
REG-0012277,,,
REG-0012278,,,
REG-0012279,,,
REG-0012280,,,
REG-0012281,,1.0,Aw alta 0.70
REG-0012282,,,Flotabilidad 0.37 / Particulas por gramo 2727 / Densidad 1.28
REG-0012283,,,Flotabilidad 0.18 / Particulas por gramo 1900 / Rebabas 1.59 / Densidad 1.26
REG-0012284,,,
REG-0012285,,,
REG-0012286,,,
REG-0012287,,,
REG-0012288,,,
REG-0012289,,,
REG-0012290,,,Flotabilidad 0.35 / Particulas por gramo 2294  / Densidad 1.26
REG-0012291,,,Flotabilidad 0.48 / Particulas por gramo 1941  / Densidad 1.25
REG-0012292,,,
REG-0012293,,,
REG-0012294,,,
REG-0012295,,,
REG-0012296,,,
REG-0012297,,,Flotabilidad 0.47 / Particulas por gramo 2294  / Densidad 1.27
REG-0012298,,,
REG-0012299,,,
REG-0012300,,,
REG-0012301,,,
REG-0012302,,,
REG-0012303,,,
REG-0012304,,,Flotabilidad 0.20 / Particulas por gramo 2150 / Producto caliente
REG-0012305,,,Flotabilidad 0.20 / Particulas por gramo 2150
REG-0012306,,,
REG-0012307,,,
REG-0012308,,,
REG-0012309,,,
REG-0012310,,,
REG-0012311,,,
REG-0012312,,,
