Fecha,Turno,TAC,Codigo,Linea,Lote,Hora,Etapa,Ver,Agrupador,Categoria,Proteina (%),Humedad (%),Grasa (%),Ceniza (%),Fibra (%),Proteina F.(%),Humedad F.(%),Lipidos F. (%),Ceniza F.(%),Fibra F.(%),Almidon F. (%),VQ - Proteina R.(%),"VQ - Humedad R.(%) ",VQ - Grasa E.E R.(%),VQ - Grasa H.A R.(%),VQ - % Ceniza,VQ - % Fibra,VQ - % Almidón,VQ - CALCIO,VQ - FOSFORO,VQ - MAGNESIO,VQ - POTASIO,VQ - SODIO,VQ - COLESTEROL mg/100g,VQ - Aw,AF - W2,AF - PM,AF - Hidroestabilidad,AF - <600,AF - 600-700,AF - 700-800,AF - 800-900,AF - 900-1,"AF - 1-1,1","AF - 1,1-1,2","AF - 1,2-1,3","AF - 1,3-1,4","AF - 1,4-1,5","AF - 1,5-1,6","AF - 1,6-1,7",AF - >1.7,AF - Conforme Longitud,AF - Longitud <=  10.00 %,"AF - <250 ","AF - 0.250 - 0.500 ","AF - 0.500 - 0.600 ","AF - 0.600 - 0.700 ","AF - 0.700 - 0.800 ","AF - 0.800 - 0.900 ","AF - 0.900 - 1.0 ",AF - 1 - 1.10,AF - >1.10,AF - Conforme Diametro,AF - Diametro <=  10.00 %,AF - Apariencia,AF - % Rebabas,AF - % de Finos <250 um,PPG - Peso,PPG - Particulas,PPG - Part./g,FH - PESO2,"FH - Pellets que Flotan 140 PPT ",FH - Flotabilidad % 140 (10s)ppt,FH - Tiempo de Hundimiento 140ppt(seg)2,FH - % Hundimiento 140,DE - VOL.1,DE - VOL.2,DE - DIF. VOLUMEN,DE - PESO,DE - DENSIDAD ESPECIFICA (kg/L),DA - PESO3,DA - VOLUMEN DEL VASO,DA - DENSIDAD APARENTE  (g/L),R140 - Peso./g,R140 - Part.g /25 gr,"R140 - Minuto""5"" ","R140 - Minuto  ""15"" ","R140 - Minuto  ""30"" ","R140 - Minuto  ""60"" ",R140 - % Reflote 140 PPT,D. Empleo,Autorizado por:,Cantidad de Bolsas,Cantidad de Bolsas 2,Cantidad de Bolsas 3,Cantidad de Bolsas 4,Total Bolsas,TN,Codigo QM,Motivo Pulmon,Observaciones,Causas Pulmon
1/2/2026,II,DAGUIRREG,7530432,A,PE260102A0,23:20:00,ZARANDA,256,HD14257,Nicovita classic Camar�n,35.5-37.5,5.5-11.5,6.5-10,12,2.5,37.28,11.50,7.82,11.94,2.50,13.22,38.47,10.48,4.87,6.97,10.76,2.00,14.10,1.39,1.07,0.34,1.70,0.97,83.24,0.6,125,150,BUENA,0.01,0.19,2.8,17.25,31.71,18.7,9.55,5.81,4.03,2.88,2.15,2.46,0,38.09,61.91,0.01,0.05,0.3,0.47,5.8,36.82,39.92,10.99,5.64,82.54,17.46,BUENA,0.18%,,0.034,38,1118,15,5,0.03%,18,99.97%,50,73.4,23.4,30,1.28,,0.3,0,25,27941,2,2,2,2,0.007%,,,,,,,0,0,,,,
1/2/2026,II,DAGUIRREG,7530904,B,PE260102B0,23:20:00,ZARANDA,11,HD14399,Nicovita Katal Camar�n,42.5-44.5,5.5-11.5,6.0-10,13,2.6,42.50,11.50,7.08,10.76,2.13,12.00,42.55,8.75,7.61,9.05,9.95,1.45,13.80,2.00,1.22,0.24,1.34,0.55,142.19,0.5,128,156,BUENA,0.01,0.09,1.16,9.62,23.15,21.08,15.39,10.41,5.85,3.33,2.29,3.81,0,52.73,47.27,0.19,0.25,0.21,0.37,2.37,36.89,45.4,9.68,4.64,84.66,15.34,BUENA,0.15%,,0.032,42,1313,15,4,0.02%,20,99.98%,50,73.4,23.4,30,1.28,,0.3,0,25,32813,2,2,2,3,0.009%,,,,,,,0,0,,,,
1/2/2026,II,DAGUIRREG,7530432,A,PE260102A0,05:00:00,PT,256,HD14257,Nicovita classic Camar�n,35.5-37.5,5.5-11.5,6.5-10,12,2.5,37.28,11.50,7.82,11.94,2.50,13.22,38.86,10.83,5.17,7.25,10.31,1.97,14.12,1.33,1.03,0.30,1.66,0.90,86.34,0.6,130,160,BUENA,0.02,0.23,4.33,26.94,28.76,14.05,7.22,4.78,3.7,2.9,2.18,4.89,0,29.75,70.25,0.02,0.14,0.1,0.33,5.45,46.74,38.91,6.34,1.97,91.1,8.90,BUENA,0.15%,0.04%,0.037,56,1514,15,5,0.02%,120,99.98%,50,73.5,23.5,30,1.28,215,0.3,717,25,37838,1,1,1,1,0.003%,Concesi�n,PIERO A.,1056,,,,1056,26.4,40000482713,Longitud,Flotabilidad 0.02  / Densidad 1.28 /  Conformidad Long 29.75 / Particulas por gramo 1514,Variabilidad de proceso
1/2/2026,II,DAGUIRREG,7530904,B,PE260102B0,05:00:00,PT,11,HD14399,Nicovita Katal Camar�n,42.5-44.5,5.5-11.5,6.0-10,13,2.6,42.50,11.50,7.08,10.76,2.13,12.00,42.47,7.81,5.57,7.30,10.48,1.93,13.37,1.78,1.24,0.35,1.52,0.77,116.03,0.38,134,168,BUENA,0.02,0.19,2.61,15.19,24.65,19.61,14.55,9.51,5.21,2.74,1.63,4.09,0,48.88,51.12,0.07,0.09,0.12,0.5,9.97,55.8,26.85,4.4,2.2,92.62,7.38,BUENA,0.14%,0.06%,0.046,66,1435,15,10,0.05%,12,99.95%,50,74,24,30,1.25,215,0.3,717,25,35870,2,1,1,1,0.006%,Concesi�n,PIERO A.,660,40,,,700,17.5,40000482714-40000482716,Longitud,Flotabilidad 0.05  / Densidad 1.25 /  Conformidad Long 48.88  / Particulas por gramo 1435,Variabilidad de proceso
1/3/2026,I,CSIVINCHAV,7530904,B,PE260103B0,08:25:00,ARRANQUE,11,HD14399,Nicovita Katal Camar�n,42.5-44.5,5.5-11.5,6.0-10,13,2.6,42.50,11.50,7.08,10.76,2.13,12.00,42.24,9.05,7.17,8.65,9.92,1.56,13.59,1.90,1.21,0.24,1.38,0.63,144.28,0.51,139,178,BUENA,0.04,0.06,0.77,8.77,25.66,25.61,18.49,10.7,4.43,1.88,0.98,0.61,2,59.23,40.77,0.15,0.54,0.23,0.27,2.41,37.5,45.79,12.08,1.03,85.7,14.30,BUENA,0.55%,,0.054,65,1204,15,6,0.03%,20,99.97%,50,74,24,30,1.25,,0.3,0,25,30093,10,10,10,10,0.033%,,,,,,,0,0,,,,
1/3/2026,I,CSIVINCHAV,7530432,A,PE260103A0,10:30:00,ARRANQUE,256,HD14257,Nicovita classic Camar�n,35.5-37.5,5.5-11.5,6.5-10,12,2.5,37.28,11.50,7.82,11.94,2.50,13.22,38.20,10.74,5.14,7.12,11.16,1.93,13.54,1.33,1.04,0.34,1.63,1.09,84.68,0.59,133,166,BUENA,0.04,0.34,5.08,70.57,18.41,2.06,0.68,0.4,0.33,0.27,0.28,0.26,1.28,3.47,96.53,0.03,0.02,0.21,0.86,7.26,79.51,11.3,0.34,0.47,98.07,1.93,BUENA,0.60%,,0.046,76,1652,15,5,0.02%,16,99.98%,50,73.7,23.7,30,1.27,,0.3,0,25,41304,1,1,1,1,0.002%,,,,,,,0,0,,,,
1/3/2026,I,CSIVINCHAV,7530904,B,PE260103B0,10:35:00,ZARANDA,11,HD14399,Nicovita Katal Camar�n,42.5-44.5,5.5-11.5,6.0-10,13,2.6,42.50,11.50,7.08,10.76,2.13,12.00,42.35,7.70,7.85,9.26,10.09,1.40,14.13,2.15,1.21,0.30,1.34,0.66,145.99,0.35,138,176,BUENA,0.02,0.03,0.58,7.12,22.8,25.3,19.67,12.63,6,2.49,1.09,0.54,1.73,63.60,36.40,0.01,0.15,0.29,0.19,2,35.82,48.29,12.32,0.93,86.11,13.89,BUENA,0.42%,,0.045,63,1400,15,10,0.05%,23,99.95%,50,74.5,24.5,30,1.22,,0.3,0,25,35000,30,30,30,30,0.086%,,,,,,,0,0,,,,
1/3/2026,I,CSIVINCHAV,7530432,A,PE260103A0,12:50:00,ZARANDA,256,HD14257,Nicovita classic Camar�n,35.5-37.5,5.5-11.5,6.5-10,12,2.5,37.28,11.50,7.82,11.94,2.50,13.22,37.65,10.57,5.99,7.88,11.02,1.99,13.67,1.32,1.03,0.34,1.68,1.02,87.60,0.58,133,166,BUENA,0.02,0.14,3.45,34.54,27.66,15.38,9.51,4.54,1.9,0.77,0.46,0.36,1.27,31.33,68.67,0.02,0.23,0.23,0.21,4.93,76.83,16.87,0.34,0.34,98.63,1.37,BUENA,0.63%,,0.055,80,1455,15,6,0.03%,20,99.97%,50,73.9,23.9,30,1.26,,0.3,0,25,36364,1,1,1,1,0.003%,,,,,,,0,0,,,,
1/3/2026,I,CSIVINCHAV,7530904,B,PE260103B0,12:55:00,ZARANDA,11,HD14399,Nicovita Katal Camar�n,42.5-44.5,5.5-11.5,6.0-10,13,2.6,42.50,11.50,7.08,10.76,2.13,12.00,40.71,7.33,8.43,9.91,9.85,1.13,16.60,2.03,1.20,0.39,1.30,0.67,147.38,0.36,141,182,BUENA,0.01,0.02,0.3,4.31,20.96,24.75,19.8,14.39,7.58,3.3,1.48,0.8,2.3,66.52,33.48,0.01,0.22,0.13,0.23,0.87,23.25,57.07,17.34,0.88,81.19,18.81,BUENA,0.57%,,0.044,48,1091,15,35,0.21%,55,99.79%,50,74.2,24.2,30,1.24,,0.3,0,25,27273,130,130,130,130,0.477%,,,,,,,0,0,,,,
1/3/2026,I,CSIVINCHAV,7530432,A,PE260103A0,15:05:00,ZARANDA,256,HD14257,Nicovita classic Camar�n,35.5-37.5,5.5-11.5,6.5-10,12,2.5,37.28,11.50,7.82,11.94,2.50,13.22,38.49,10.89,6.16,8.12,10.34,1.99,13.37,1.30,0.98,0.29,1.65,0.95,80.59,0.58,133,166,BUENA,0.02,0.32,3.55,19.16,16.92,13.61,12.54,10,7.6,5.29,3.5,2.33,5.16,43.75,56.25,0.01,0.2,0.2,0.46,6.93,78.65,12.49,0.37,0.69,98.07,1.93,BUENA,0.55%,,0.051,60,1176,15,1,0.01%,16,99.99%,50,73.9,23.9,30,1.26,,0.3,0,25,29412,1,1,1,1,0.003%,,,,,,,0,0,,,,
