SEMANA,Fecha,Turno,TAC,Op. Envasado,Código,Formato,%Proteína,Categoría,Lote,FP,FV,AGREGADO,LINEA,ESTADO ,NUMERO DE VERSION,LIGIBILIDAD DE LA INFORMACION,Observaciones ,Accion Inmediata 
 ,,,,,,,,,,, ,,E2,CONFORME ,V1,CONFORME,Observaciones ,Accion Inmediata 
 ,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
