IdRegistro,IdRango,Valor
REG-0012024,159,0.37
REG-0012024,160,0.61
REG-0012025,152,0.03
REG-0012025,153,0.56
REG-0012025,154,0.34
REG-0012025,155,0.21
REG-0012025,156,1.9
REG-0012025,157,35.78
REG-0012025,158,47.67
REG-0012025,159,12.22
REG-0012025,160,1.29
REG-0012026,152,0.02
REG-0012026,153,0.0
REG-0012026,154,0.07
REG-0012026,155,0.24
REG-0012026,156,6.57
REG-0012026,157,77.83
REG-0012026,158,14.14
REG-0012026,159,0.34
REG-0012026,160,0.79
REG-0012027,152,0.04
REG-0012027,153,0.03
REG-0012027,154,0.2
REG-0012027,155,0.19
REG-0012027,156,1.38
REG-0012027,157,51.79
REG-0012027,158,44.1
REG-0012027,159,1.84
REG-0012027,160,0.43
REG-0012028,152,0.01
REG-0012028,153,0.07
REG-0012028,154,0.25
REG-0012028,155,0.64
REG-0012028,156,10.83
REG-0012028,157,74.86
REG-0012028,158,12.51
REG-0012028,159,0.31
REG-0012028,160,0.52
REG-0012029,152,0.15
REG-0012029,153,0.45
REG-0012029,154,0.11
REG-0012029,155,0.3
REG-0012029,156,1.99
REG-0012029,157,56.74
REG-0012029,158,38.3
REG-0012029,159,1.58
REG-0012029,160,0.38
REG-0012030,152,0.01
REG-0012030,153,0.2
REG-0012030,154,0.18
REG-0012030,155,0.42
REG-0012030,156,4.07
REG-0012030,157,63.81
REG-0012030,158,29.88
REG-0012030,159,0.8
REG-0012030,160,0.63
REG-0012031,152,0.01
REG-0012031,153,0.13
REG-0012031,154,0.2
REG-0012031,155,0.25
REG-0012031,156,3.24
REG-0012031,157,66.57
REG-0012031,158,27.77
REG-0012031,159,1.31
REG-0012031,160,0.52
REG-0012032,152,0.02
REG-0012032,153,0.2
REG-0012032,154,0.14
REG-0012032,155,0.25
REG-0012032,156,2.24
REG-0012032,157,47.51
REG-0012032,158,46.4
REG-0012032,159,2.06
REG-0012032,160,1.18
REG-0012033,152,0.01
REG-0012033,153,0.19
REG-0012033,154,0.15
REG-0012033,155,0.22
REG-0012033,156,2.13
REG-0012033,157,55.59
REG-0012033,158,39.06
REG-0012033,159,2.28
REG-0012033,160,0.37
REG-0012034,152,0.02
REG-0012034,153,0.08
REG-0012034,154,0.13
REG-0012034,155,0.19
REG-0012034,156,1.53
REG-0012034,157,40.89
REG-0012034,158,52.85
REG-0012034,159,3.31
REG-0012034,160,1.0
REG-0012035,152,0.01
REG-0012035,153,0.15
REG-0012035,154,0.28
REG-0012035,155,0.16
REG-0012035,156,2.23
REG-0012035,157,57.16
REG-0012035,158,36.99
REG-0012035,159,2.46
REG-0012035,160,0.56
REG-0012036,152,0.01
REG-0012036,153,0.01
REG-0012036,154,0.21
REG-0012036,155,0.22
REG-0012036,156,2.03
REG-0012036,157,47.12
REG-0012036,158,47.4
REG-0012036,159,2.03
REG-0012036,160,0.97
REG-0012037,152,0.06
REG-0012037,153,0.23
REG-0012037,154,0.17
REG-0012037,155,0.21
REG-0012037,156,2.48
REG-0012037,157,59.0
REG-0012037,158,35.6
REG-0012037,159,1.83
REG-0012037,160,0.42
REG-0012038,152,0.01
REG-0012038,153,0.0
REG-0012038,154,0.21
REG-0012038,155,0.5
REG-0012038,156,5.39
REG-0012038,157,67.71
REG-0012038,158,24.55
REG-0012038,159,0.93
REG-0012038,160,0.7
REG-0012039,152,0.09
REG-0012039,153,0.16
REG-0012039,154,0.14
REG-0012039,155,0.14
REG-0012039,156,1.6
REG-0012039,157,54.39
REG-0012039,158,41.12
REG-0012039,159,1.89
REG-0012039,160,0.47
REG-0012040,152,0.01
REG-0012040,153,0.07
REG-0012040,154,0.18
REG-0012040,155,0.17
REG-0012040,156,1.82
REG-0012040,157,46.56
REG-0012040,158,48.05
REG-0012040,159,2.38
REG-0012040,160,0.76
REG-0012041,152,0.07
REG-0012041,153,0.2
REG-0012041,154,0.14
REG-0012041,155,0.26
REG-0012041,156,2.66
REG-0012041,157,58.78
REG-0012041,158,35.57
REG-0012041,159,1.81
REG-0012041,160,0.51
REG-0012042,152,0.03
REG-0012042,153,0.09
REG-0012042,154,0.03
REG-0012042,155,0.13
REG-0012042,156,1.35
REG-0012042,157,41.4
REG-0012042,158,53.19
REG-0012042,159,2.74
REG-0012042,160,1.04
REG-0012043,152,0.01
REG-0012043,153,0.13
REG-0012043,154,0.14
REG-0012043,155,0.2
REG-0012043,156,2.1
REG-0012043,157,51.03
REG-0012043,158,41.85
REG-0012043,159,3.51
REG-0012043,160,1.03
REG-0012044,152,0.04
REG-0012044,153,0.29
REG-0012044,154,0.13
REG-0012044,155,0.34
REG-0012044,156,1.8
REG-0012044,157,45.71
REG-0012044,158,48.18
REG-0012044,159,2.32
REG-0012044,160,1.19
REG-0012045,152,0.01
REG-0012045,153,0.24
REG-0012045,154,0.2
REG-0012045,155,0.16
REG-0012045,156,1.38
REG-0012045,157,48.86
REG-0012045,158,45.29
REG-0012045,159,1.8
REG-0012045,160,2.06
REG-0012046,152,0.05
REG-0012046,153,0.15
REG-0012046,154,0.02
REG-0012046,155,0.2
REG-0012046,156,2.06
REG-0012046,157,58.41
REG-0012046,158,36.61
REG-0012046,159,2.03
REG-0012046,160,0.47
REG-0012047,152,0.07
REG-0012047,153,0.09
REG-0012047,154,0.01
REG-0012047,155,0.26
REG-0012047,156,2.13
REG-0012047,157,50.62
REG-0012047,158,43.42
REG-0012047,159,2.06
REG-0012047,160,1.34
REG-0012048,152,0.0
REG-0012048,153,0.17
REG-0012048,154,0.1
REG-0012048,155,0.19
REG-0012048,156,1.83
REG-0012048,157,51.67
REG-0012048,158,42.53
REG-0012048,159,2.96
REG-0012048,160,0.55
REG-0012049,152,0.01
REG-0012049,153,0.0
REG-0012049,154,0.29
REG-0012049,155,0.27
REG-0012049,156,1.93
REG-0012049,157,48.67
REG-0012049,158,45.24
REG-0012049,159,2.29
REG-0012049,160,1.3
REG-0012050,152,0.01
REG-0012050,153,0.07
REG-0012050,154,0.08
REG-0012050,155,0.15
REG-0012050,156,2.56
REG-0012050,157,59.58
REG-0012050,158,34.87
REG-0012050,159,2.04
REG-0012050,160,0.64
REG-0012051,152,0.0
REG-0012051,153,0.1
REG-0012051,154,0.13
REG-0012051,155,0.26
REG-0012051,156,2.0
REG-0012051,157,46.63
REG-0012051,158,46.87
REG-0012051,159,2.48
REG-0012051,160,1.53
REG-0012052,152,0.01
REG-0012052,153,0.07
REG-0012052,154,0.11
REG-0012052,155,0.34
REG-0012052,156,3.08
REG-0012052,157,58.6
REG-0012052,158,34.87
REG-0012052,159,2.28
REG-0012052,160,0.64
REG-0012053,152,0.08
REG-0012053,153,0.27
REG-0012053,154,0.14
REG-0012053,155,0.65
REG-0012053,156,3.89
REG-0012053,157,57.27
REG-0012053,158,34.61
REG-0012053,159,1.87
REG-0012053,160,1.22
REG-0012054,152,0.06
REG-0012054,153,0.0
REG-0012054,154,0.08
REG-0012054,155,0.22
REG-0012054,156,2.56
REG-0012054,157,57.66
REG-0012054,158,36.5
REG-0012054,159,2.31
REG-0012054,160,0.61
REG-0012055,152,0.01
REG-0012055,153,0.26
REG-0012055,154,0.02
REG-0012055,155,0.28
REG-0012055,156,3.67
REG-0012055,157,59.83
REG-0012055,158,32.76
REG-0012055,159,1.52
REG-0012055,160,1.65
REG-0012056,152,0.01
REG-0012056,153,0.15
REG-0012056,154,0.12
REG-0012056,155,0.31
REG-0012056,156,3.44
REG-0012056,157,63.88
REG-0012056,158,29.92
REG-0012056,159,1.63
REG-0012056,160,0.54
REG-0012057,152,0.04
REG-0012057,153,0.17
REG-0012057,154,0.08
REG-0012057,155,0.24
REG-0012057,156,4.11
REG-0012057,157,59.38
REG-0012057,158,33.1
REG-0012057,159,1.4
REG-0012057,160,1.48
REG-0012058,152,0.01
REG-0012058,153,0.12
REG-0012058,154,0.17
REG-0012058,155,0.37
REG-0012058,156,4.34
REG-0012058,157,63.13
REG-0012058,158,29.36
REG-0012058,159,1.98
REG-0012058,160,0.52
REG-0012059,152,0.03
