Fecha,Turno,TAC,Codigo,Linea,Lote,Hora,Etapa,Ver,Agrupador,Categoria,Proteina (%),Humedad (%),Grasa (%),Ceniza (%),Fibra (%),Proteina F.(%),Humedad F.(%),Lipidos F. (%),Ceniza F.(%),Fibra F.(%),Almidon F. (%),VQ - Proteina R.(%),"VQ - Humedad R.(%) ",VQ - Grasa E.E R.(%),VQ - Grasa H.A R.(%),VQ - % Ceniza,VQ - % Fibra,VQ - % Almidón,VQ - CALCIO,VQ - FOSFORO,VQ - MAGNESIO,VQ - POTASIO,VQ - SODIO,VQ - COLESTEROL mg/100g,VQ - Aw,AF - W2,AF - PM,AF - Hidroestabilidad,"AF - <0.250  ","AF - 0.250 - 0.300 ","AF - 0.300 - 0.400 ","AF - 0.400 - 0.500 ","AF - 0.500 - 0.600 ","AF - 0.600 - 0.700 ","AF - 0.700 - 0.800 ","AF - 0.800 - 0.900 ","AF - 0.900 - 1.00 ",AF - 1.0 - 1.1,AF - >1.11,AF - Conforme Longitud,AF - Longitud <=  10.00 %,AF - <0.250  2,"AF - 0.250 - 0.300  ","AF - 0.300 - 0.400  ","AF - 0.400 - 0.500  ","AF - 0.500 - 0.600  ","AF - 0.600 - 0.700  ",AF - 0.700 - 0.800,"AF - 0.800 - 0.900  ","AF - 0.900 - 1.0 ","AF - 1.0 - 1.1 ",AF - >1.1,AF - Conforme Diametro,AF - Diametro <=  10.00 %,AF - Apariencia,AF - % Rebabas,AF - % de Finos <250 um,PPG - Peso,PPG - Particulas,PPG - Part./g,FH - PESO2,"FH - Pellets que Flotan 140 PPT ",FH - Flotabilidad % 140 (10s)ppt,FH - Tiempo de Hundimiento 140ppt(seg)2,FH - % Hundimiento 140,DE - VOL.1,DE - VOL.2,DE - DIF. VOLUMEN,DE - PESO,DE - DENSIDAD ESPECIFICA (kg/L),DA - PESO3,DA - VOLUMEN DEL VASO,DA - DENSIDAD APARENTE  (g/L),R140 - Peso./g,R140 - Part.g /25 gr,"R140 - Minuto""5"" ","R140 - Minuto  ""15"" ","R140 - Minuto  ""30"" ","R140 - Minuto  ""60"" ",R140 - % Reflote 140 PPT,D. Empleo,Autorizado por:,Cantidad de Bolsas,Cantidad de Bolsas 2,Cantidad de Bolsas 3,Cantidad de Bolsas 4,Total Bolsas,TN,Codigo QM,Motivo Pulmon,Observaciones,Causas Pulmon
1/7/2026,I,JALVARADOS,7530857,A,PE260107A0,12:00:00,ARRANQUE,21,HD14378,Nicovita Katal Camar�n,43.5-45.5,5.5-11.5,6.0-10,13,2.60,43.50,11.29,7.49,9.55,2.14,12.00,42.10,9.64,8.12,9.78,9.91,1.94,12.06,1.86,1.18,0.29,1.46,0.57,116.28,0.56,135,170,BUENA,0.02,0.00,0.11,0.64,6.21,54.75,33.03,1.42,0.8,0.58,2.44,94.63,5.37,0.28,0.1,0.6,2.98,25.22,59.68,10.91,0.16,0.03,0.02,0.02,98.79,1.21,BUENA,1.10%,,0.013,62,4769,15,20,0.03%,40,99.97%,50,74,24,30,1.25,,0.3,0,25,119231,20,20,20,20,0.001%,,,,,,,0,0,,,,
1/7/2026,I,JALVARADOS,7530857,A,PE260107A0,13:00:00,ZARANDA,21,HD14378,Nicovita Katal Camar�n,43.5-45.5,5.5-11.5,6.0-10,13,2.60,43.50,11.29,7.49,9.55,2.14,12.00,43.29,8.29,7.58,9.43,10.22,1.86,12.54,1.82,1.22,0.25,1.55,0.56,117.11,0.48,138,176,BUENA,0.01,0.00,0.02,0.19,5.28,57.77,31.37,1.33,0.69,0.59,2.75,94.61,5.39,0.11,0.16,0.52,1.39,7.36,58.39,31.33,0.6,0.09,0.01,0.04,98.47,1.53,BUENA,0.56%,,0.01,40,4000,15,15,0.03%,40,99.98%,50,74.2,24.2,30,1.24,,0.3,0,25,100000,10,10,10,15,0.000%,,,,,,,0,0,,,,
1/7/2026,II,APACHAMANGOL,7530857,A,PE260107A0,15:30:00,ZARANDA,21,HD14378,Nicovita Katal Camar�n,43.5-45.5,5.5-11.5,6.0-10,13,2.60,43.50,11.29,7.49,9.55,2.14,12.00,43.20,9.30,6.40,8.16,10.15,1.73,12.94,1.89,1.26,0.23,1.48,0.58,123.11,0.54,137,174,BUENA,0.03,0.00,0.02,0.31,5.61,58.06,31.12,1.31,0.65,0.57,2.32,95.10,4.90,0.18,0.2,0.79,1.77,7.66,58.78,30.21,0.38,0.01,0.01,0.01,98.42,1.58,BUENA,0.53%,,0.03,122,4067,15,12,0.02%,30,99.98%,50,74.2,24.2,30,1.24,,0.3,0,25,101667,10,10,10,15,0.030%,,,,,,,0,0,,,,
1/7/2026,II,APACHAMANGOL,7530857,A,PE260107A0,17:00:00,ZARANDA,21,HD14378,Nicovita Katal Camar�n,43.5-45.5,5.5-11.5,6.0-10,13,2.60,43.50,11.29,7.49,9.55,2.14,12.00,42.94,9.65,7.05,8.66,10.26,1.72,13.23,2.04,1.31,0.22,1.45,0.55,123.84,0.56,136,172,BUENA,0.05,0.00,0.03,0.46,5.51,54.69,33.76,1.9,0.77,0.52,2.31,94.42,5.58,0.25,0.2,0.83,2.31,7.75,56.25,31.87,0.51,0.01,0.01,0.01,98.18,1.82,BUENA,0.79%,,0.034,42,1235,15,15,0.08%,35,99.92%,50,74.1,24.1,30,1.24,,0.3,0,25,30882,10,10,10,15,0.049%,,,,,,,0,0,,,,
1/7/2026,II,APACHAMANGOL,7530857,A,PE260107A0,19:00:00,ZARANDA,21,HD14378,Nicovita Katal Camar�n,43.5-45.5,5.5-11.5,6.0-10,13,2.60,43.50,11.29,7.49,9.55,2.14,12.00,42.89,9.19,8.31,9.91,9.85,1.55,12.70,1.88,1.21,0.20,1.43,0.55,123.34,0.54,138,176,BUENA,0.04,0.00,0.05,0.86,15.9,56.45,20.8,1.8,0.92,0.71,2.47,94.01,5.99,0.21,0.22,1.18,5.72,20.94,52.33,18.97,0.42,0.01,0,0,97.96,2.04,BUENA,0.80%,,0.036,172,4778,15,20,0.03%,45,99.97%,50,74.9,24.9,30,1.20,,0.3,0,25,119444,20,20,20,20,0.033%,,,,,,,0,0,,,,
1/7/2026,II,APACHAMANGOL,7530857,A,PE260107A0,21:00:00,ZARANDA,21,HD14378,Nicovita Katal Camar�n,43.5-45.5,5.5-11.5,6.0-10,13,2.60,43.50,11.29,7.49,9.55,2.14,12.00,42.58,9.31,8.34,9.97,9.89,1.68,12.99,1.91,1.22,0.21,1.46,0.52,128.50,0.54,136,172,BUENA,0.03,0.00,0.06,1.01,17.85,55.38,18.98,2.14,1.16,0.74,2.65,93.22,6.78,0.24,0.24,1.69,6.83,26.26,48.77,15.5,0.42,0.01,0.02,0.02,97.36,2.64,BUENA,0.97%,,0.032,140,4375,15,30,0.05%,48,99.95%,50,74,24,30,1.25,,0.3,0,25,109375,20,20,20,20,0.027%,,,,,,,0,0,,,,
1/7/2026,II,APACHAMANGOL,7530857,A,PE260107A0,21:30:00,PT,21,HD14378,Nicovita Katal Camar�n,43.5-45.5,5.5-11.5,6.0-10,13,2.60,43.50,11.29,7.49,9.55,2.14,12.00,44.27,7.95,6.18,8.11,10.32,1.84,12.62,1.82,1.29,0.26,1.53,0.57,122.20,0.48,138,176,BUENA,0.09,0.01,0.07,0.38,7.14,60.34,27.33,1.12,0.69,0.52,2.31,95.19,4.81,0.29,0.14,0.78,1.93,9.2,60.42,26.93,0.29,0.01,0.01,0,98.48,1.52,BUENA,0.71%,0.09%,0.027,136,5037,15,18,0.02%,39,99.98%,50,74.9,24.9,30,1.20,209,0.3,697,25,125926,10,10,10,10,0.002%,Concesi�n,PIERO A.,396,,,,396,9.9,40000483367,Flotabilidad,Flotabilidad  0.02 / Densidad 1.20,Variabilidad de proceso
1/7/2026,III,FCERDANY,7530857,A,PE260107A0,00:00:00,ARRANQUE,21,HD14378,Nicovita Katal Camar�n,43.5-45.5,5.5-11.5,6.0-10,13,2.60,43.50,11.29,7.49,9.55,2.14,12.00,42.67,9.37,7.80,9.62,10.07,1.70,12.34,1.82,1.24,0.18,1.46,0.53,127.04,0.55,145,190,BUENA,0.03,0,0.1,1.32,14.73,53.41,20.14,3.28,1.69,1.15,4.15,89.60,10.40,0.47,0.41,2.21,8.63,25.78,47.4,14.62,0.46,0.02,0,0,96.43,3.57,BUENA,0.47%,,0.035,170,4857,15,30,0.04%,25,99.96%,50,73.8,23.8,30,1.26,,0.3,0,25,121429,5,10,10,10,0.012%,,,,,,,0,0,,,,
1/7/2026,III,FCERDANY,7530857,A,PE260107A0,02:30:00,ZARANDA,21,HD14378,Nicovita Katal Camar�n,43.5-45.5,5.5-11.5,6.0-10,13,2.60,43.50,11.29,7.49,9.55,2.14,12.00,42.69,9.56,7.50,9.31,10.25,1.65,12.08,1.79,1.22,0.19,1.50,0.56,117.15,0.56,142,184,BUENA,0.03,0,0.1,1.35,14.64,50.65,22.63,3.62,1.8,1.36,3.82,89.27,10.73,0.27,0.33,2.06,7.86,23.67,46.75,18.11,20:38,0.09,0,0,96.39,3.61,BUENA,0.96%,,0.039,165,4231,15,10,0.02%,19,99.98%,50,73.5,23.5,30,1.28,,0.3,0,25,105769,5,5,5,5,0.004%,,,,,,,0,0,,,,
1/7/2026,III,FCERDANY,7530857,A,PE260107A0,04:30:00,ZARANDA,21,HD14378,Nicovita Katal Camar�n,43.5-45.5,5.5-11.5,6.0-10,13,2.60,43.50,11.29,7.49,9.55,2.14,12.00,42.88,9.55,7.45,9.11,10.28,1.68,12.22,1.93,1.24,0.21,1.49,0.56,120.51,0.56,140,180,BUENA,0.02,0.01,0.17,1.85,12.9,44.06,25.83,5.49,2.42,1.8,5.45,84.64,15.36,0.41,0.47,2.88,8.5,22.75,43.1,20.32,1.5,0.06,0.01,0,94.67,5.33,BUENA,0.89%,,0.032,130,4063,15,15,0.02%,20,99.98%,50,73.5,23.5,30,1.28,,0.3,0,25,101563,5,5,5,5,0.010%,,,,,,,0,0,,,,
