Fecha,Turno,TAC,Codigo,Linea,Lote,Hora,Etapa,Ver,Agrupador,Categoria,Proteina (%),Humedad (%),Grasa (%),Ceniza (%),Fibra (%),Proteina F.(%),Humedad F.(%),Lipidos F. (%),Ceniza F.(%),Fibra F.(%),Almidon F. (%),VQ - Proteina R.(%),"VQ - Humedad R.(%) ",VQ - Grasa E.E R.(%),VQ - Grasa H.A R.(%),VQ - % Ceniza,VQ - % Fibra,VQ - % Almidón,VQ - CALCIO,VQ - FOSFORO,VQ - MAGNESIO,VQ - POTASIO,VQ - SODIO,VQ - COLESTEROL mg/100g,VQ - Aw,AF - W2,AF - PM,AF - Hidroestabilidad,"AF - <0.250  ","AF - 0.250 - 0.300 ","AF - 0.300 - 0.400 ","AF - 0.400 - 0.500 ","AF - 0.500 - 0.600 ","AF - 0.600 - 0.700 ","AF - 0.700 - 0.800 ","AF - 0.800 - 0.900 ","AF - 0.900 - 1.00 ",AF - 1.0 - 1.1,AF - >1.11,AF - Conforme Longitud,AF - Longitud <=  10.00 %,AF - <0.250  2,"AF - 0.250 - 0.300  ","AF - 0.300 - 0.400  ","AF - 0.400 - 0.500  ","AF - 0.500 - 0.600  ","AF - 0.600 - 0.700  ",AF - 0.700 - 0.800,"AF - 0.800 - 0.900  ","AF - 0.900 - 1.0 ","AF - 1.0 - 1.1 ",AF - >1.1,AF - Conforme Diametro,AF - Diametro <=  10.00 %,AF - Apariencia,AF - % Rebabas,AF - % de Finos <250 um,PPG - Peso,PPG - Particulas,PPG - Part./g,FH - PESO2,"FH - Pellets que Flotan 140 PPT ",FH - Flotabilidad % 140 (10s)ppt,FH - Tiempo de Hundimiento 140ppt(seg)2,FH - % Hundimiento 140,DE - VOL.1,DE - VOL.2,DE - DIF. VOLUMEN,DE - PESO,DE - DENSIDAD ESPECIFICA (kg/L),DA - PESO3,DA - VOLUMEN DEL VASO,DA - DENSIDAD APARENTE  (g/L),R140 - Peso./g,R140 - Part.g /25 gr,"R140 - Minuto""5"" ","R140 - Minuto  ""15"" ","R140 - Minuto  ""30"" ","R140 - Minuto  ""60"" ",R140 - % Reflote 140 PPT,D. Empleo,Autorizado por:,Cantidad de Bolsas,Cantidad de Bolsas 2,Cantidad de Bolsas 3,Cantidad de Bolsas 4,Total Bolsas,TN,Codigo QM,Motivo Pulmon,Observaciones,Causas Pulmon
4/15/2025,II,DAGUIRREG,7530831,A,PE250415A0,17:20:00,ZARANDA,2,HD14356,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.0-10,13.3,2.50,36.44,11.00,6.00,13.50,1.98,15.49,37.61,8.64,7.56,9.41,9.51,1.87,16.45,1.50,1.05,0.41,1.21,0.62,89.84,0.48,150,200,BUENA,0.01,0,0.05,3.07,25.7,53.87,9.75,2.13,1.5,0.98,2.94,92.39,7.61,0.36,0.5,3.26,9.59,22.14,55.3,8.53,0.26,0.02,0.02,0.02,95.56,4.44,BUENA,1.00%,,0.01,90,9000,15,438,0.32%,98,99.68%,50,73.3,23.3,30,1.29,,0.3,0,25,225000,5,5,5,5,0.000%,,,,,,,0,0.00,,,,
4/15/2025,II,OVASQUEZC,7530831,A,PE250415A0,21:30:00,ARRANQUE,2,HD14356,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.0-10,13.3,2.50,36.44,11.00,6.00,13.50,1.98,15.49,36.33,10.12,6.19,8.44,11.06,1.78,16.18,1.60,1.15,0.47,1.12,0.85,85.10,0.59,152,204,BUENA,0.01,0,0.04,1.58,34.49,47.81,8.02,1.81,1.44,1.18,3.62,91.90,8.10,0.27,0.19,1.82,13.9,28.84,47.17,7.58,0.18,0.04,0.01,0,97.49,2.51,BUENA,0.87%,,0.01,74,7400,15,500,0.45%,110,99.55%,50,73.2,23.2,30,1.29,,0.3,0,25,185000,3,5,5,5,0.000%,,,,,,,0,0.00,,,,
4/15/2025,III,OVASQUEZC,7530831,A,PE250415A0,23:00:00,ZARANDA,2,HD14356,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.0-10,13.3,2.50,36.44,11.00,6.00,13.50,1.98,15.49,37.85,7.99,6.72,8.84,10.35,1.81,16.12,1.62,1.15,0.44,1.12,0.74,98.01,0.44,154,208,BUENA,0.01,0,0.04,3.86,40.01,40.18,6.02,3.17,2.12,1.34,3.25,90.07,9.93,0.24,0.2,2.82,17.49,32.28,41.98,4.7,0.25,0.03,0.01,0,96.45,3.55,BUENA,0.77%,,0.01,35,3500,15,600,1.14%,120,98.86%,50,73.5,23.5,30,1.28,,0.3,0,25,87500,3,3,3,3,0.000%,,,,,,,0,0.00,,,,
4/15/2025,III,OVASQUEZC,7530831,A,PE250415A0,03:15:00,ARRANQUE,2,HD14356,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.0-10,13.3,2.50,36.44,11.00,6.00,13.50,1.98,15.49,36.30,10.37,6.98,9.08,10.33,1.82,15.44,1.34,1.18,0.49,1.14,0.81,83.37,0.62,150,200,BUENA,0.01,0,0.04,4.31,43.31,38.5,5.79,2.73,1.63,1.1,2.58,91.91,8.09,0.14,0.19,3.06,20.13,35.07,37.67,3.52,0.19,0.03,0,0,96.39,3.61,BUENA,0.51%,,0.005,36,7200,15,250,0.23%,120,99.77%,50,73.5,23.5,30,1.28,,0.3,0,25,180000,2,2,2,2,0.000%,,,,,,,0,0.00,,,,
4/15/2025,III,OVASQUEZC,7530831,A,PE250415A0,05:15:00,ZARANDA,2,HD14356,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.0-10,13.3,2.50,36.44,11.00,6.00,13.50,1.98,15.49,36.58,9.90,6.68,8.79,10.46,1.85,15.53,1.38,1.24,0.51,1.22,0.79,80.99,0.59,152,204,BUENA,0.01,0,0.06,2.83,34.52,38.64,10.73,4.81,2.59,1.58,4.23,86.72,13.28,0.36,0.25,2.72,17.11,29.08,40.79,8.86,0.73,0.08,0.01,0.01,95.84,4.16,BUENA,0.72%,,0.007,44,6286,15,470,0.50%,120,99.50%,50,73.8,23.8,30,1.26,,0.3,0,25,157143,3,3,3,4,0.000%,,,,,,,0,0.00,,,,
4/15/2025,III,OVASQUEZC,7530831,A,PE250415A0,05:30:00,PT,2,HD14356,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.0-10,13.3,2.50,36.44,11.00,6.00,13.50,1.98,15.49,37.30,9.36,7.17,9.04,10.04,1.82,16.09,1.48,1.07,0.44,1.19,0.72,91.53,0.56,150,200,BUENA,0.01,0,0.04,2.92,31.81,43.61,7.17,2.89,2.08,1.89,7.58,85.51,14.49,0.29,0.53,3.11,14.92,28.39,46.45,5.5,0.53,0.14,0.12,0.02,95.26,4.74,BUENA,1.13%,0.12%,0.007,52,7429,15,400,0.36%,72,99.64%,50,73.5,23.5,30,1.28,203,0.3,677,25,185714,3,3,3,3,0.000%,Concesi�n,PIERO A.,264,256,,,520,13.00,40000423493-40000423866,Flotabilidad,Flotabilidad 0.36 / Densidad 1.28  / Conformidad (long 34.73 / calibre 43.31),Falla operativa
4/16/2025,I,DAGUIRREG,7530831,A,PE250416A0,07:30:00,ZARANDA,2,HD14356,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.0-10,13.3,2.50,36.44,11.00,6.00,13.50,1.98,15.49,36.38,9.99,6.77,8.91,10.47,1.87,16.06,1.56,1.17,0.49,1.13,0.75,88.41,0.58,152,204,BUENA,0.05,0,0.07,3.52,32.9,42.23,11.96,4.4,1.75,1.47,1.65,90.61,9.39,0.07,0.1,2.23,16.1,30.51,42.51,8.03,0.45,0,0,0,97.15,2.85,BUENA,1.00%,,0.013,66,5077,15,305,0.40%,120,99.60%,50,73.5,23.5,30,1.28,,0.3,0,25,126923,4,4,4,4,0.000%,,,,,,,0,0.00,,,,
4/16/2025,I,DAGUIRREG,7530831,A,PE250416A0,09:30:00,ZARANDA,2,HD14356,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.0-10,13.3,2.50,36.44,11.00,6.00,13.50,1.98,15.49,37.12,9.03,7.33,9.28,9.97,1.86,16.22,1.51,1.08,0.43,1.18,0.74,88.13,0.56,150,200,REGULAR,0.01,0,0.08,5.38,40.8,39.06,7.06,3.49,1.74,1.08,1.3,92.30,7.70,0.04,0.12,3.97,20.74,31.92,39.31,3.78,0.12,0,0,0,95.75,4.25,BUENA,0.76%,,0.013,70,5385,15,400,0.50%,120,99.50%,50,73.8,23.8,30,1.26,,0.3,0,25,134615,7,7,7,7,0.000%,,,,,,,0,0.00,,,,
4/16/2025,I,DAGUIRREG,7530831,A,PE250416A0,11:00:00,ARRANQUE,2,HD14356,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.0-10,13.3,2.50,36.44,11.00,6.00,13.50,1.98,15.49,37.98,7.15,8.09,9.76,10.07,1.95,16.34,1.41,1.15,0.48,1.21,0.74,87.91,0.5,138,176,BUENA,0.05,0.01,0.07,3.4,35.22,42.1,9.73,2.98,1.62,1.27,3.55,90.45,9.55,0.38,0.45,4.17,17.7,26.55,44.62,5.79,0.3,0.04,0,0,94.66,5.34,BUENA,1.27%,,0.023,178,7739,15,700,0.60%,120,99.40%,50,73.6,23.6,30,1.27,,0.3,0,25,193478,20,15,15,15,0.000%,,,,,,,0,0.00,,,,
4/16/2025,I,DAGUIRREG,7530831,A,PE250416A0,13:30:00,ZARANDA,2,HD14356,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.0-10,13.3,2.50,36.44,11.00,6.00,13.50,1.98,15.49,37.57,7.84,8.40,10.05,9.84,1.89,16.29,1.53,1.11,0.48,1.22,0.70,81.04,0.38,145,190,BUENA,0.09,0,0.13,3.66,28.53,39.62,19.89,3.69,1.32,0.92,2.15,91.70,8.30,0.32,0.57,7.8,14.38,19.85,40.43,15.97,0.64,0.03,0,0.01,90.63,9.37,BUENA,2.00%,,0.013,94,7231,15,550,0.51%,120,99.49%,50,73.6,23.6,30,1.27,,0.3,0,25,180769,15,15,15,15,0.000%,,,,,,,0,0.00,,,,
